14:01:45.523 0 zb_ib.c:115	aps_channel_mask 0x1800
14:01:45.523 0 mac.c:76	>>mac_init
14:01:45.523 0 mac.c:137	zb_get_out_buf: zb_mac_init
14:01:45.523 0 zb_bufpool.c:141	=================
14:01:45.523 0 zb_bufpool.c:142	GET BUF 0x5587c8fdbad0
14:01:45.523 0 zb_bufpool.c:143	ref 0
14:01:45.524 0 zb_bufpool.c:144	allocated 0: 1
14:01:45.524 0 zb_bufpool.c:145	allocated 1: 0
14:01:45.524 0 zb_bufpool.c:146	=================
14:01:45.524 0 mac.c:139	zb_get_in_buf: zb_mac_init
14:01:45.524 0 zb_bufpool.c:141	=================
14:01:45.524 0 zb_bufpool.c:142	GET BUF 0x5587c8fdbb70
14:01:45.524 0 zb_bufpool.c:143	ref 1
14:01:45.524 0 zb_bufpool.c:144	allocated 0: 1
14:01:45.524 0 zb_bufpool.c:145	allocated 1: 1
14:01:45.524 0 zb_bufpool.c:146	=================
14:01:45.524 0 mac.c:142	zb_get_in_buf: zb_mac_init
14:01:45.524 0 zb_bufpool.c:141	=================
14:01:45.524 0 zb_bufpool.c:142	GET BUF 0x5587c8fdbc10
14:01:45.524 0 zb_bufpool.c:143	ref 2
14:01:45.524 0 zb_bufpool.c:144	allocated 0: 2
14:01:45.524 0 zb_bufpool.c:145	allocated 1: 1
14:01:45.524 0 zb_bufpool.c:146	=================
14:01:45.524 0 mac.c:166	<<mac_init
14:01:45.524 0 nwk_main.c:93	+nwk_init
14:01:45.524 0 nwk_main.c:115	>>nib_init
14:01:45.524 0 nwk_main.c:128	<<nib_init
14:01:45.524 0 nwk_neighbor.c:67	nb_init
14:01:45.524 0 nwk_main.c:110	-nwk_init
14:01:45.524 0 aps_main.c:94	+zb_aps_init
14:01:45.524 0 aps_main.c:109	-zb_aps_init
14:01:45.524 0 af_descriptor.c:256	zb_set_default_ed_descriptor_values
14:01:45.524 0 af_descriptor.c:85	node desc, server_mask 0 mac cap 0x8
14:01:45.524 0 af_descriptor.c:160	cluster_id 0x8000, cluster_number 0, input count 7
14:01:45.524 0 af_descriptor.c:160	cluster_id 0x8001, cluster_number 1, input count 7
14:01:45.524 0 af_descriptor.c:160	cluster_id 0x8002, cluster_number 2, input count 7
14:01:45.524 0 af_descriptor.c:160	cluster_id 0x8003, cluster_number 3, input count 7
14:01:45.524 0 af_descriptor.c:160	cluster_id 0x8004, cluster_number 4, input count 7
14:01:45.524 0 af_descriptor.c:160	cluster_id 0x8005, cluster_number 5, input count 7
14:01:45.524 0 af_descriptor.c:160	cluster_id 0x8006, cluster_number 6, input count 7
14:01:45.524 0 af_descriptor.c:174	cluster_id 0x0, cluster_number 0, output count 8
14:01:45.524 0 af_descriptor.c:174	cluster_id 0x1, cluster_number 1, output count 8
14:01:45.524 0 af_descriptor.c:174	cluster_id 0x2, cluster_number 2, output count 8
14:01:45.524 0 af_descriptor.c:174	cluster_id 0x3, cluster_number 3, output count 8
14:01:45.524 0 af_descriptor.c:174	cluster_id 0x4, cluster_number 4, output count 8
14:01:45.524 0 af_descriptor.c:174	cluster_id 0x5, cluster_number 5, output count 8
14:01:45.524 0 af_descriptor.c:174	cluster_id 0x6, cluster_number 6, output count 8
14:01:45.524 0 af_descriptor.c:174	cluster_id 0x13, cluster_number 7, output count 8
14:01:45.524 0 zdo_app.c:131	ext pan id 0 - startup
14:01:45.524 0 zb_bufpool.c:141	=================
14:01:45.524 0 zb_bufpool.c:142	GET BUF 0x5587c8fdbcb0
14:01:45.524 0 zb_bufpool.c:143	ref 3
14:01:45.524 0 zb_bufpool.c:144	allocated 0: 3
14:01:45.524 0 zb_bufpool.c:145	allocated 1: 1
14:01:45.524 0 zb_bufpool.c:146	=================
14:01:45.524 0 zdo_app.c:181	disc, then join by assoc
14:01:45.525 0 zb_scheduler.c:254	0x5587c8fdb520 scheduled cb 0x5587c8db8548 param 3 (in_b 0)
14:01:45.525 0 zdo_app.c:199	return now
14:01:45.525 0 zb_scheduler.c:105	cb_q written 1, read_i 0, write_i 1
14:01:45.525 0 zb_scheduler.c:115	0x5587c8fdb520 calling cb 0x5587c8db8548 param 3 in_b 0 len 0
14:01:45.525 0 nwk_discovery.c:65	>>zb_nlme_network_discovery_request 0x5587c8fdbd47
14:01:45.525 0 nwk_discovery.c:99	scan channels 0x1800 scan_duration 8
14:01:45.525 0 zb_scheduler.c:254	0x5587c8fdb530 scheduled cb 0x5587c8dcdf0d param 3 (in_b 0)
14:01:45.525 0 nwk_discovery.c:112	<<zb_nlme_network_discovery_request
14:01:45.525 0 zb_scheduler.c:105	cb_q written 1, read_i 1, write_i 2
14:01:45.525 0 zb_scheduler.c:115	0x5587c8fdb530 calling cb 0x5587c8dcdf0d param 3 in_b 0 len 0
14:01:45.525 0 mac_scan.c:104	>> zb_mlme_scan_request 3
14:01:45.525 0 zb_scheduler.c:254	0x5587c8fdb540 scheduled cb 0x5587c8dcdde9 param 3 (in_b 0)
14:01:45.525 0 mac_scan.c:136	<< zb_mlme_scan_request
14:01:45.525 0 zb_scheduler.c:105	cb_q written 1, read_i 2, write_i 3
14:01:45.525 0 zb_scheduler.c:115	0x5587c8fdb540 calling cb 0x5587c8dcdde9 param 3 in_b 0 len 0
14:01:45.525 0 mac_scan.c:67	>> zb_handle_scan_request
14:01:45.525 0 mac_scan.c:360	>> zb_mlme_active_scan
14:01:45.525 0 mac_scan.c:365	idle state, set beacon found == 0
14:01:45.525 0 mac_scan.c:372	set beacon mode ret 0, param channels 0x1800
14:01:45.525 0 mac_scan.c:385	chan mask 1800 0 , chan 11
14:01:45.525 0 zb_scheduler.c:254	0x5587c8fdb550 scheduled cb 0x5587c8dce25c param 0 (in_b 255)
14:01:45.525 0 mac_scan.c:387	<< zb_mlme_active_scan, ret 0
14:01:45.525 0 mac_scan.c:92	<< zb_handle_scan_request i
14:01:45.525 0 zb_scheduler.c:105	cb_q written 1, read_i 3, write_i 4
14:01:45.525 0 zb_scheduler.c:115	0x5587c8fdb550 calling cb 0x5587c8dce25c param 0 in_b 255 len -1
14:01:45.525 0 mac_scan.c:208	>> zb_mlme_scan_step
14:01:45.525 0 mac_scan.c:257	set channel 11
14:01:45.525 0 mac_routines.c:225	+zb_beacon_request_command
14:01:45.525 0 mac.c:578	>>mac_fill_mhr
14:01:45.525 0 mac.c:629	<<mac_fill_mhr
14:01:45.525 0 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x5587c8fdbad0
14:01:45.525 0 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #1 buf 0x5587c8fdbad0 / 0 in_b 0 (size 11) is_w 1
14:01:45.525 0 zb_mac_transport_linux_pipes.c:182	t: start 1553770905; t 1553770905 525690, time 34
14:01:45.525 0 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
14:01:45.525 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:45.525 0 zb_mac_transport_linux_pipes.c:381	open wpipe /tmp/zt2.read. wait if nessesary
14:01:45.526 0 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
14:01:45.526 0 zb_mac_transport_linux_pipes.c:93	0B 03 08 59 FF FF FF FF 07 2A 4C 
14:01:45.526 0 zb_mac_transport_linux_pipes.c:446	out buffer is sent
14:01:45.526 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
14:01:45.526 0 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
14:01:45.526 0 mac_routines.c:272	<< zb_beacon_request_command ret 0
14:01:45.526 0 zb_scheduler.c:283	tm_freelist, get nent 0x5587c8fdb868
14:01:45.526 0 zb_scheduler.c:294	0x5587c8fdb868 scheduled alarm 0x5587c8dce25c, run_after 257, at 257, param 0
14:01:45.526 0 zb_scheduler.c:349	cur t 0, head t 257
14:01:45.526 0 mac_scan.c:338	<< zb_mlme_scan_step
14:01:45.526 0 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
14:01:45.526 0 zb_mac_transport_linux_pipes.c:485	open rpipe 6. ret 0
14:01:45.526 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:45.526 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:45.526 0 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:45.526 0 zb_mac_transport_linux_pipes.c:513	timer stop 257 timer 0  tmo 257
14:01:45.526 0 zb_mac_transport_linux_pipes.c:529	select() timeout 3.932000
14:01:45.527 0 zb_mac_transport_linux_pipes.c:548	delta 1 (0)
14:01:45.527 0 zb_mac_transport_linux_pipes.c:569	timer 0, delta_rest 1
14:01:45.527 0 zb_mac_transport_linux_pipes.c:265	>>read_from_pipe
14:01:45.527 0 zb_mac_transport_linux_pipes.c:269	no buffer available, call mac to get incoming buffer
14:01:45.527 0 zb_mac_transport_linux_pipes.c:273	<<read_from_pipe 1
14:01:45.527 0 zb_mac_transport_linux_pipes.c:600	Schedule mac main loop 2
14:01:45.527 0 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 1
14:01:45.527 0 mac.c:325	zb_get_in_buf: zb_mac_main_loop
14:01:45.527 0 zb_bufpool.c:141	=================
14:01:45.527 0 zb_bufpool.c:142	GET BUF 0x5587c8fdbd50
14:01:45.527 0 zb_bufpool.c:143	ref 4
14:01:45.527 0 zb_bufpool.c:144	allocated 0: 3
